DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2016,34980,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2017,36555,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2018,36943,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2019,35625,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2020,36740,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2021,37616,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2010,685,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2011,803,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2012,843,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2013,913,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2014,895,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2015,764,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2016,736,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2017,824,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2018,913,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2019,1005,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2020,1184,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2021,1316,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2010,14998,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2011,16376,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2012,16114,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2013,16100,
