DATAFLOW,LAST UPDATE,freq,indic_env,wst_oper,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Greece,2016,279,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Greece,2018,347,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Greece,2020,347,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2004,1574,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2006,1643,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2008,2216,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2010,3396,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2012,4491,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2014,3322,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2016,3549,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2018,3884,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Spain,2020,4007,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2004,336,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2006,354,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2010,431,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2012,483,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2014,506,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Finland,2018,353,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2004,414,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2006,1040,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2008,1038,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2010,977,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2012,955,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2014,1050,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2016,1204,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2018,2136,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),France,2020,2183,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2004,107,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2006,2606,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2010,173,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2012,125,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2014,145,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2016,205,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2018,201,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Croatia,2020,276,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2004,182,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2006,368,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2008,368,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2010,528,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2012,551,
ESTAT:ENV_WASFAC(1.0),14.09.22 23:00,Annual,Facilities - number,Recovery - recycling and backfilling (R2-R11),Hungary,2014,820,
