TIME,GEO,CEPAREMA,UNIT,Value
2013,Sweden,Waste management,Million euro,332.00
2013,Iceland,Waste management,Million euro,
2013,Norway,Waste management,Million euro,54.00
2013,Switzerland,Waste management,Million euro,476.00
2013,United Kingdom,Waste management,Million euro,2825.60
2013,Serbia,Waste management,Million euro,
2013,Turkiye,Waste management,Million euro,75.50
2014,European Union,Waste management,Million euro,4446.40
2014,Belgium,Waste management,Million euro,133.00
2014,Bulgaria,Waste management,Million euro,147.10
2014,Czechia,Waste management,Million euro,86.00
2014,Denmark,Waste management,Million euro,0.20
2014,Germany,Waste management,Million euro,718.00
2014,Estonia,Waste management,Million euro,0.90
2014,Ireland,Waste management,Million euro,22.80
2014,Greece,Waste management,Million euro,394.00
2014,Spain,Waste management,Million euro,176.00
2014,France,Waste management,Million euro,1114.60
2014,Croatia,Waste management,Million euro,37.70
2014,Italy,Waste management,Million euro,159.00
2014,Cyprus,Waste management,Million euro,7.20
2014,Latvia,Waste management,Million euro,4.70
2014,Lithuania,Waste management,Million euro,15.40
2014,Luxembourg,Waste management,Million euro,5.90
2014,Hungary,Waste management,Million euro,134.50
2014,Malta,Waste management,Million euro,18.60
2014,Netherlands,Waste management,Million euro,641.00
2014,Austria,Waste management,Million euro,2.90
2014,Poland,Waste management,Million euro,40.90
2014,Portugal,Waste management,Million euro,7.80
2014,Romania,Waste management,Million euro,136.10
2014,Slovenia,Waste management,Million euro,20.80
2014,Slovakia,Waste management,Million euro,96.70
2014,Finland,Waste management,Million euro,0.00
2014,Sweden,Waste management,Million euro,324.40
2014,Iceland,Waste management,Million euro,2.80
2014,Norway,Waste management,Million euro,80.40
2014,Switzerland,Waste management,Million euro,446.60
2014,United Kingdom,Waste management,Million euro,3048.00
2014,Serbia,Waste management,Million euro,0.90
2014,Turkiye,Waste management,Million euro,58.50
2015,European Union,Waste management,Million euro,5227.00
2015,Belgium,Waste management,Million euro,141.10
2015,Bulgaria,Waste management,Million euro,221.40
2015,Czechia,Waste management,Million euro,105.50
2015,Denmark,Waste management,Million euro,0.20
2015,Germany,Waste management,Million euro,555.00
2015,Estonia,Waste management,Million euro,6.40
2015,Ireland,Waste management,Million euro,25.40
2015,Greece,Waste management,Million euro,381.00
2015,Spain,Waste management,Million euro,241.00
2015,France,Waste management,Million euro,1003.50
2015,Croatia,Waste management,Million euro,33.50
2015,Italy,Waste management,Million euro,170.00
2015,Cyprus,Waste management,Million euro,35.50
2015,Latvia,Waste management,Million euro,4.80
2015,Lithuania,Waste management,Million euro,22.90
