DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2017,16042.4,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2018,17099.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2019,18046.4,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2020,17514.3,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Bosnia and Herzegovina,2021,19083.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,1995,220251.5,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,1996,219965.3,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,1997,223032.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,1998,231015.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,1999,242307.6,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2000,256376.4,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2001,264334.9,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2002,273255.9,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2003,281200.2,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2004,296819.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2005,310037.6,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2006,325151.5,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2007,343618.9,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2008,351743.1,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2009,346472.8,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2010,363140.1,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2011,375967.8,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2012,386174.7,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2013,392880,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2014,403003.3,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2015,416701.4,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2016,430085.3,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2017,445050.1,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2018,460050.8,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2019,478645,
ESTAT:NAMA_10_GDP(1.0),05.12.22 23:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Belgium,2020,459826.3,p
