DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2005,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2006,0.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2007,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2008,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2009,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2010,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2011,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2012,0.5,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2013,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2014,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2015,0.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2016,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2017,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2018,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2019,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Bulgaria,2020,0.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Switzerland,1995,0.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Switzerland,1996,0.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Switzerland,1997,0.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Switzerland,1998,0.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Percentage of gross domestic product (GDP),General government,Waste management,Total general government expenditure,Switzerland,1999,0.2,
